# project_name=keliya solverstep_min=20 epsilon_m=1e-06
entity_type,entity_id,flips_sf,flips_us,flips_gw,flips_stage
ele,211,12,0,0,0
ele,212,53,2,0,0
ele,213,25,24,0,0
ele,214,39,2,0,0
ele,215,58,10,0,0
ele,216,85,22,0,0
ele,217,45,6,0,0
ele,218,77,24,0,0
ele,219,4,0,0,0
ele,220,4,0,0,0
ele,221,0,0,0,0
ele,222,3,0,0,0
ele,223,4,0,0,0
ele,224,0,0,0,0
ele,225,2,0,0,0
ele,226,8,0,0,0
ele,227,0,0,0,0
ele,228,0,0,0,0
ele,229,0,0,0,0
ele,230,0,0,0,0
ele,231,256,17,173,0
ele,232,2,0,0,0
ele,233,3,0,0,0
ele,234,0,0,0,0
ele,235,4,0,0,0
ele,236,2,0,0,0
ele,237,10,0,0,0
ele,238,27,0,0,0
ele,239,53,4,0,0
ele,240,4,0,0,0
ele,241,3,0,0,0
ele,242,0,0,0,0
ele,243,2,0,0,0
ele,244,8,0,0,0
ele,245,3,0,0,0
ele,246,21,0,0,0
ele,247,23,0,0,0
ele,248,17,0,0,0
ele,249,9,0,0,0
ele,250,25,0,0,0
ele,251,55,2,0,0
ele,252,27,0,0,0
ele,253,52,4,0,0
ele,254,21,0,0,0
ele,255,37,0,0,0
ele,256,64,4,0,0
ele,257,72,18,0,0
ele,258,58,22,0,0
ele,259,29,2,0,0
ele,260,0,0,0,0
ele,261,0,0,0,0
ele,262,0,0,0,0
ele,263,1,0,0,0
ele,264,0,0,0,0
ele,265,0,0,0,0
ele,266,0,0,0,0
ele,267,0,0,0,0
ele,268,0,0,0,0
ele,269,30,0,0,0
ele,270,65,14,0,0
ele,271,43,0,0,0
ele,272,47,4,0,0
ele,273,45,4,0,0
ele,274,44,0,0,0
ele,275,43,2,0,0
ele,276,33,4,0,0
ele,277,43,8,0,0
ele,278,55,0,0,0
ele,279,57,2,0,0
ele,280,44,4,0,0
ele,281,46,4,0,0
ele,282,39,2,0,0
ele,283,11,0,0,0
ele,284,57,2,0,0
ele,285,45,2,0,0
ele,286,32,16,0,0
ele,287,13,22,0,0
ele,288,72,20,0,0
ele,289,73,24,0,0
ele,290,75,18,0,0
ele,291,15,24,0,0
ele,292,0,0,0,0
ele,293,60,14,0,0
ele,294,45,0,0,0
ele,295,53,0,0,0
ele,296,29,0,0,0
ele,297,4,0,0,0
ele,298,66,12,0,0
ele,299,46,4,0,0
ele,300,88,24,0,0
ele,301,68,4,0,0
ele,302,85,24,0,0
ele,303,23,14,0,0
ele,304,72,22,0,0
ele,305,52,4,0,0
ele,306,52,4,0,0
ele,307,11,20,0,0
ele,308,87,30,0,0
ele,309,31,14,0,0
ele,310,81,16,0,0
ele,311,54,4,0,0
ele,312,78,14,0,0
ele,313,75,20,0,0
ele,314,27,14,0,0
ele,315,96,14,0,0
ele,316,37,0,0,0
ele,317,44,4,0,0
ele,318,42,2,0,0
ele,319,0,0,0,0
ele,320,0,0,0,0
ele,321,0,0,0,0
ele,322,0,0,0,0
ele,323,2,0,0,0
ele,324,66,0,0,0
ele,325,60,12,0,0
ele,326,6,0,0,0
ele,327,5,0,0,0
ele,328,0,0,0,0
ele,329,23,0,0,0
ele,330,37,0,0,0
ele,331,15,0,0,0
ele,332,11,0,0,0
ele,333,11,22,0,0
ele,334,13,22,0,0
ele,335,15,22,0,0
ele,336,7,24,0,0
ele,337,11,22,0,0
ele,338,11,20,0,0
ele,339,11,22,0,0
ele,340,13,22,0,0
ele,341,5,16,0,0
ele,342,10,16,0,0
ele,343,11,20,0,0
ele,344,11,18,0,0
ele,345,7,28,0,0
ele,346,9,0,0,0
ele,347,85,20,0,0
ele,348,19,0,0,0
ele,349,44,4,0,0
ele,350,33,0,0,0
ele,351,23,8,0,0
ele,352,76,14,0,0
ele,353,11,0,0,0
ele,354,11,26,0,0
ele,355,13,0,0,0
ele,356,11,56,0,0
ele,357,8,32,13,0
ele,358,11,26,0,0
ele,359,11,0,0,0
ele,360,5,0,0,0
