case	N	maxl	rep	wall_s	nfe	nfeLS	nni	nli	nsetups	netf	nst	npe	nps	ncfn	ncfl	lenrw	leniw	lenrwLS	leniwLS	rivqdown_sha12	prov_log_count
heihe_x4	1	20	3	1716.53	6551	37219	6550	37219	0	0	6496	0	0	0	0	1617224	53	3359169	57	d3d03476b6b7	1
heihe_x4	1	30	1	1813.52	6551	37219	6550	37219	0	0	6496	0	0	0	0	1617224	53	4603669	67	d3d03476b6b7	1
heihe_x4	1	30	2	1725.63	6551	37219	6550	37219	0	0	6496	0	0	0	0	1617224	53	4603669	67	d3d03476b6b7	1
heihe_x4	1	30	3	1527.62	6551	37219	6550	37219	0	0	6496	0	0	0	0	1617224	53	4603669	67	d3d03476b6b7	1
heihe_x4	8	5	1	1372.04	6741	30509	6740	30509	0	0	6575	0	0	51	3620	1617224	53	1492794	42	b5e4b0a2cf83	1
heihe_x4	8	5	2	1371.92	6741	30509	6740	30509	0	0	6575	0	0	51	3620	1617224	53	1492794	42	b5e4b0a2cf83	1
heihe_x4	8	5	3	1414.85	6741	30509	6740	30509	0	0	6575	0	0	51	3620	1617224	53	1492794	42	b5e4b0a2cf83	1
heihe_x4	8	10	1	1627.32	6551	37219	6550	37219	0	0	6496	0	0	0	0	1617224	53	2114869	47	d3d03476b6b7	1
heihe_x4	8	10	2	1687.26	6551	37219	6550	37219	0	0	6496	0	0	0	0	1617224	53	2114869	47	d3d03476b6b7	1
heihe_x4	8	10	3	1699.39	6551	37219	6550	37219	0	0	6496	0	0	0	0	1617224	53	2114869	47	d3d03476b6b7	1
heihe_x4	8	15	1	1681.24	6551	37219	6550	37219	0	0	6496	0	0	0	0	1617224	53	2736994	52	d3d03476b6b7	1
heihe_x4	8	15	2	1588.95	6551	37219	6550	37219	0	0	6496	0	0	0	0	1617224	53	2736994	52	d3d03476b6b7	1
heihe_x4	8	15	3	1587.81	6551	37219	6550	37219	0	0	6496	0	0	0	0	1617224	53	2736994	52	d3d03476b6b7	1
heihe_x4	8	20	1	1555.46	6551	37219	6550	37219	0	0	6496	0	0	0	0	1617224	53	3359169	57	d3d03476b6b7	1
heihe_x4	8	20	2	1625.33	6551	37219	6550	37219	0	0	6496	0	0	0	0	1617224	53	3359169	57	d3d03476b6b7	1
heihe_x4	8	20	3	1717.60	6551	37219	6550	37219	0	0	6496	0	0	0	0	1617224	53	3359169	57	d3d03476b6b7	1
heihe_x4	8	30	1	1729.52	6551	37219	6550	37219	0	0	6496	0	0	0	0	1617224	53	4603669	67	d3d03476b6b7	1
heihe_x4	8	30	2	1712.59	6551	37219	6550	37219	0	0	6496	0	0	0	0	1617224	53	4603669	67	d3d03476b6b7	1
heihe_x4	8	30	3	1609.87	6551	37219	6550	37219	0	0	6496	0	0	0	0	1617224	53	4603669	67	d3d03476b6b7	1
