index	iSoil	iGeol	iLC	IC	iForc	iMF	iBC	iLake	node0	node1	node2	nabr0	nabr1	nabr2	edge0	edge1	edge2	area	x	y	zmin	zmax	soil_index	infKsatV	ThetaS	ThetaR	Alpha	Beta	hAreaF	macKsatV	infD	geol_index	KsatH	KsatV	SpYield	geo_ThetaS	geo_ThetaR	geo_vAreaF	macKsatH	macD	LC_index	VegFrac	Albedo	Rough	RzD	SoilDgrd	ImpAF	Dist2Edge0	Dist2Edge1	Dist2Edge2	Dist2Nabor0	Dist2Nabor1	Dist2Nabor2	avgRough0	avgRough1	avgRough2	windH	FixPressure	AquiferDepth	WetlandLevel	RootReachLevel	MacporeLevel	
12	29	29	17	-9999	1579	1	0	0	0	293	3939	302	7549	250	7550	3140.49	3691.82	2726.15	4.18151e+06	167708	4.26244e+06	1039.66	1045.66	-9999	0.00016511	0.458126	0.01	4.11054	1.226	0.01	0.016511	0.1	-9999	0.00237451	0.000237451	0.434282	0.444282	0.01	0.01	0.237451	1	0	0.01	0.3	0.000583333	0.55	0.6	0	887.656	755.094	1022.57	1637.74	1376.71	1773.51	0.000583333	0.000583333	0.000583333	10	89.5572	6	5.9	5.45	5	
13	25	25	17	-9999	332	1	0	0	0	414	416	415	597	591	595	2851.46	2435.25	2852.12	3.13998e+06	-89598.7	4.19341e+06	1255.82	1261.82	-9999	0.00012754	0.447753	0.01	3.94178	1.20985	0.01	0.012754	0.1	-9999	0.0018545	0.00018545	0.439714	0.449714	0.01	0.01	0.18545	1	0	0.01	0.3	0.000583333	0.55	0.6	0	734.123	859.592	733.954	1634.04	1821.47	1655.84	0.000583333	0.000583333	0.000583333	10	87.2687	6	5.9	5.45	5	
14	69	69	11	-9999	279	1	0	0	0	236	237	342	458	457	281	2351.13	3702.55	4253	4.3431e+06	-103523	4.02679e+06	4323.84	4329.84	-9999	0.000386316	0.481521	0.01	3.54553	1.13512	0.01	0.0386316	0.1	-9999	0.000581971	5.81971e-05	0.484056	0.494056	0.01	0.01	0.0581971	1	0	0.726	0.15	0.000666667	0.75	0	0	1231.5	782.002	680.79	2639.14	1417.57	1682.78	0.000666667	0.000666667	0.000666667	10	59.5697	6	5.9	5.25	5	
15	78	78	16	-9999	245	1	0	0	0	217	193	192	0	239	17	2771.96	3276.29	3276.61	4.1148e+06	-106884	4.02345e+06	4903.52	4909.52	-9999	0.000343036	0.466971	0.01	3.69993	1.21789	0.01	0.0343036	0.1	-9999	0.00247817	0.000247817	0.445697	0.455697	0.01	0.01	0.247817	1	0	0	0.65	0.000333333	0	0	0.5	989.623	837.288	837.205	0	1501.83	1944.11	0.000333333	0.0005	0.0005	10	55.2451	6	5.9	6	5	
16	29	29	17	-9999	1579	1	0	0	0	5510	292	290	125	10646	187	2708.42	2211.63	3048.21	2.90372e+06	162650	4.25502e+06	1030.88	1036.88	-9999	0.00016511	0.458126	0.01	4.11054	1.226	0.01	0.016511	0.1	-9999	0.00237451	0.000237451	0.434282	0.444282	0.01	0.01	0.237451	1	0	0.01	0.3	0.000583333	0.55	0.6	0	714.74	875.289	635.065	1504.67	1535.04	1249.48	0.000583333	0.000583333	0.000583333	10	89.6512	6	5.9	5.45	5	
17	78	78	11	-9999	245	1	0	0	0	204	193	217	15	329	0	3276.61	3276.5	4021.4	5.20181e+06	-108821	4.02328e+06	4742.03	4748.03	-9999	0.000343036	0.466971	0.01	3.69993	1.21789	0.01	0.0343036	0.1	-9999	0.00247817	0.000247817	0.445697	0.455697	0.01	0.01	0.247817	1	0	0.726	0.15	0.000666667	0.75	0	0	1058.37	1058.41	862.355	1944.11	1828.74	0	0.0005	0.000666667	0.000666667	10	56.4234	6	5.9	5.25	5	
18	78	78	11	-9999	245	1	0	0	0	238	487	489	734	738	83	2530.96	2640.45	2133.55	2.50936e+06	-109849	4.0278e+06	4552.16	4558.16	-9999	0.000343036	0.466971	0.01	3.69993	1.21789	0.01	0.0343036	0.1	-9999	0.00247817	0.000247817	0.445697	0.455697	0.01	0.01	0.247817	1	0	0.726	0.15	0.000666667	0.75	0	0	660.976	633.569	784.096	1306.4	1531.81	1534.61	0.000666667	0.000666667	0.000625	10	57.8348	6	5.9	5.25	5	
19	78	78	11	-9999	246	1	0	0	0	238	235	278	300	83	353	3100.05	3099.46	3239.32	4.28068e+06	-108633	4.03011e+06	4581.04	4587.04	-9999	0.000343036	0.466971	0.01	3.69993	1.21789	0.01	0.0343036	0.1	-9999	0.00247817	0.000247817	0.445697	0.455697	0.01	0.01	0.247817	1	0	0.726	0.15	0.000666667	0.75	0	0	920.56	920.737	880.984	1990.13	1410.18	1843.92	0.000666667	0.000625	0.000666667	10	57.6182	6	5.9	5.25	5	
20	27	27	17	-9999	1611	1	0	0	0	7341	398	396	562	14292	14291	3740.01	2192.5	3660.79	3.87193e+06	172487	4.31173e+06	982.245	988.245	-9999	0.000137214	0.466971	0.01	3.69993	1.21789	0.01	0.0137214	0.1	-9999	0.00247817	0.000247817	0.445697	0.455697	0.01	0.01	0.247817	1	0	0.01	0.3	0.000583333	0.55	0.6	0	690.183	1177.33	705.117	1804.43	2165.35	1302.24	0.000583333	0.000583333	0.000583333	10	90.1732	6	5.9	5.45	5	
21	28	28	17	-9999	1680	1	0	0	0	2596	611	570	876	4881	4880	2349.45	2198.4	3066.36	2.57157e+06	196756	4.43578e+06	1065.64	1071.64	-9999	0.00012754	0.447753	0.01	3.94178	1.20985	0.01	0.012754	0.1	-9999	0.0018545	0.00018545	0.439714	0.449714	0.01	0.01	0.18545	1	0	0.01	0.3	0.000583333	0.55	0.6	0	729.693	779.829	559.092	1830.54	1730.82	1368.55	0.000583333	0.000583333	0.000583333	10	89.2796	6	5.9	5.45	5	
22	75	75	11	-9999	246	1	0	0	0	277	344	248	582	76	210	2966.09	3100.28	2966.27	3.92014e+06	-105623	4.03445e+06	3949.61	3955.61	-9999	0.000153008	0.499223	0.01	2.47817	1.10105	0.01	0.0153008	0.1	-9999	0.000556172	5.56172e-05	0.491243	0.501243	0.01	0.01	0.0556172	1	0	0.726	0.15	0.000666667	0.75	0	0	881.1	842.964	881.048	1968.72	1764.42	1904.31	0.000666667	0.000666667	0.000666667	10	62.5042	6	5.9	5.25	5	
23	26	26	17	-9999	955	1	0	0	0	378	1745	1743	3187	510	524	2890.46	2218.7	2376.79	2.57778e+06	30223.9	4.19884e+06	1182.47	1188.47	-9999	0.00016511	0.458126	0.01	4.11054	1.226	0.01	0.016511	0.1	-9999	0.00237451	0.000237451	0.434282	0.444282	0.01	0.01	0.237451	1	0	0.01	0.3	0.000583333	0.55	0.6	0	594.549	774.563	723.042	1189.13	1884.95	1586.66	0.000583333	0.000583333	0.000583333	10	88.0399	6	5.9	5.45	5	
24	37	37	17	-9999	375	1	0	0	0	250	249	239	590	359	312	2345.16	3344.64	3344.7	3.67298e+06	-84979.1	4.19927e+06	1233.4	1239.4	-9999	0.00013799	0.447505	0.01	3.96229	1.22167	0.01	0.013799	0.1	-9999	0.00128236	0.000128236	0.405641	0.415641	0.01	0.01	0.128236	1	0	0.01	0.3	0.000583333	0.55	0.6	0	1044.13	732.112	732.1	1877.32	1665.99	1464.31	0.000583333	0.000583333	0.000583333	10	87.5038	6	5.9	5.45	5	
25	41	41	17	-9999	18	1	0	0	0	286	520	522	798	107	411	2420.72	2420.74	2818.55	2.77376e+06	-186400	4.38404e+06	1666.37	1672.37	-9999	0.000247169	0.392299	0.01	6.18921	1.35935	0.01	0.0247169	0.1	-9999	0.00217401	0.000217401	0.390768	0.400768	0.01	0.01	0.217401	1	0	0.01	0.3	0.000583333	0.55	0.6	0	763.893	763.889	656.072	1658.85	1602.38	1493.83	0.000583333	0.000583333	0.000583333	10	83.0525	6	5.9	5.45	5	
26	25	25	17	-9999	333	1	0	0	0	412	211	205	0	592	77	4096.08	2332.73	4419.26	4.72998e+06	-88631	4.19829e+06	1263.67	1269.67	-9999	0.00012754	0.447753	0.01	3.94178	1.20985	0.01	0.012754	0.1	-9999	0.0018545	0.00018545	0.439714	0.449714	0.01	0.01	0.18545	1	0	0.01	0.3	0.000583333	0.55	0.6	0	769.838	1351.77	713.54	0	2183.11	1484.92	0.000583333	0.000583333	0.000583333	10	87.1865	6	5.9	5.45	5	
27	25	25	17	-9999	190	1	0	0	0	3557	3528	3515	6687	6829	6747	3342.58	3198.85	3198.97	4.55861e+06	-122263	4.14503e+06	1860.06	1866.06	-9999	0.00012754	0.447753	0.01	3.94178	1.20985	0.01	0.012754	0.1	-9999	0.0018545	0.00018545	0.439714	0.449714	0.01	0.01	0.18545	1	0	0.01	0.3	0.000583333	0.55	0.6	0	909.201	950.052	950.017	1909.83	2021.3	1902.67	0.000583333	0.000583333	0.000583333	10	81.1215	6	5.9	5.45	5	
