step_idx	t_sim	setup_called	hypre_iters	hypre_op_count	operator_complexity	setup_wall_sec	solve_wall_sec	cvode_nli_step	cvode_nfeLS_step
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.448750e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.467910e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.447910e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.414580e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.405830e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.396670e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.481670e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.362920e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.425840e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.439590e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.405840e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.467500e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.466670e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.518750e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.465000e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.534590e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.460840e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.495840e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.472920e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.495840e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.462080e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.453330e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.472500e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.441670e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.467080e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.467500e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.468340e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.443750e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.482920e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.470000e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.443750e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.477080e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.401670e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.407500e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.471250e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.432080e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.487080e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.506660e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.497090e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.494170e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.451670e-04	0	0
-1	0.000000	0	7	5472	1.002945	0.000000e+00	1.471660e-04	0	0
