step_idx	t_sim	setup_called	hypre_iters	hypre_op_count	operator_complexity	setup_wall_sec	solve_wall_sec	cvode_nli_step	cvode_nfeLS_step
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.091161e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.045547e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.058558e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.069558e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.066734e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.136636e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.174957e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.105122e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.187591e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.054971e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.060578e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.115024e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.140954e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.006012e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.144440e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.198025e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.042288e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	9.602511e-03	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.069459e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.080937e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	9.814608e-03	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.050541e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.143025e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.022734e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.224165e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.144427e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.003971e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.043453e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.117473e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.066385e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.018079e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.202096e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	9.906544e-03	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.013895e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.224101e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.208552e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.011374e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.074214e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.124434e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.087430e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.135495e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.161134e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.057357e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.093269e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.158528e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.139075e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.001814e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.106453e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.168558e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.021584e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.010700e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.182672e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.071780e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.009570e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.094349e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.225262e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.125525e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	9.964507e-03	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.073670e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.140104e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.017778e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.263323e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.193207e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.035853e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.150697e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.230231e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.068138e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.045575e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	9.964688e-03	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.130741e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.079091e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.007633e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.220636e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.201743e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	9.666644e-03	0	0
