step_idx	t_sim	setup_called	hypre_iters	hypre_op_count	operator_complexity	setup_wall_sec	solve_wall_sec	cvode_nli_step	cvode_nfeLS_step
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.002352e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	9.707831e-03	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.012904e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.010160e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.020179e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.108951e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.101236e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	9.958876e-03	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.081712e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.017788e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	9.612711e-03	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.073764e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.016398e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	9.810707e-03	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.096624e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	9.704556e-03	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	9.255026e-03	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.030771e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.226686e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.023049e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	9.694165e-03	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.072615e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.029494e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.067350e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.021805e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.033736e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.067283e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.002556e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	9.879581e-03	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.048142e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.093360e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.049367e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.063894e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.077984e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.102781e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	9.392855e-03	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	9.955126e-03	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.150116e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.041959e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	9.328092e-03	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	1.045948e-02	0	0
-1	0.000000	0	2	397982	1.000000	0.000000e+00	9.781931e-03	0	0
